Episode,Timestamp,Character,Dialogue,Interaction With,Sentiment
1,53:43:38,Karna,Bloodshed will bring no peace.,Pandavas,Negative
1,15:26:59,Krishna,Revenge is a dish best served cold.,Bhishma,Neutral
1,40:39:18,Karna,May truth always triumph!,Shakuni,Positive
1,39:34:11,Arjuna,Justice must prevail.,Bhishma,Positive
1,19:45:21,Ashwatthama,Revenge is a dish best served cold.,Karna,Negative
1,00:31:52,Krishna,Dharma is above all.,Gandhari,Neutral
1,38:35:51,Bheema,Victory will be ours!,Krishna,Positive
1,31:59:03,Duryodhana,Strength alone does not win wars.,Kauravas,Positive
1,22:47:14,Arjuna,Fate favors the brave.,Karna,Positive
1,22:13:50,Shakuni,Treachery has no place in dharma.,Draupadi,Positive
2,56:12:56,Bhishma,"I seek guidance, Krishna.",Arjuna,Negative
2,31:26:59,Arjuna,War is inevitable.,Gandhari,Negative
2,30:58:21,Shakuni,Your arrogance will be your downfall.,Yudhishthira,Negative
2,32:45:51,Bheema,Let the war decide our fate.,Yudhishthira,Neutral
2,44:52:09,Gandhari,Revenge is a dish best served cold.,Arjuna,Positive
2,22:12:46,Duryodhana,May truth always triumph!,Krishna,Neutral
2,05:58:09,Gandhari,Fate favors the brave.,Duryodhana,Negative
2,22:10:53,Krishna,Let the war decide our fate.,Ashwatthama,Neutral
2,19:53:11,Arjuna,Strength alone does not win wars.,Pandavas,Neutral
2,30:20:59,Ashwatthama,Strength alone does not win wars.,Pandavas,Neutral
3,53:42:18,Krishna,Your arrogance will be your downfall.,Draupadi,Negative
3,22:43:38,Ashwatthama,Your arrogance will be your downfall.,Yudhishthira,Positive
3,33:18:37,Gandhari,The future is uncertain.,Bheema,Neutral
3,49:53:49,Karna,Let the war decide our fate.,Arjuna,Positive
3,37:54:03,Shakuni,A woman's honor is her dignity.,Pandavas,Positive
3,02:12:05,Bheema,I fight for righteousness.,Karna,Neutral
3,40:07:57,Draupadi,"I seek guidance, Krishna.",Kauravas,Negative
